group7136-2, hypothetical protein
group1047, Group II intron-encoded protein LtrA
group1046, hypothetical protein
group1045, hypothetical protein
group1044, putative terminase large subunit protein
group7168-2, Metallo-beta-lactamase type 2
group6008, polar amino acid ABC transporter%2C inner membrane subunit
group6009, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6006, extracellular solute-binding protein family 3
group6007, polar amino acid ABC transporter%2C inner membrane subunit
group6001, hypothetical protein
group4387, binding-protein-dependent transport systems inner membrane component
group4386, binding-protein-dependent transport systems inner membrane component
group4385, Spermidine/putrescine-binding periplasmic protein-like protein
group19318, hypothetical protein
group4383, extracellular solute-binding protein family 3
group4382, polar amino acid ABC transporter%2C inner membrane subunit
group4381, polar amino acid ABC transporter%2C inner membrane subunit
group4380, Ornithine cyclodeaminase
group19313, hypothetical protein
group19312, hypothetical protein
group19311, hypothetical protein
group19310, hypothetical protein
group11168, hypothetical protein
group19316, hypothetical protein
group4389, LysR family transcriptional regulator
group4388, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5476, Sarcosine oxidase gamma subunit
group5477, sarcosine oxidase%2C alpha subunit family
group10697, transposase IS21
group5475, tight adherence protein
group5472, peptidase A24A prepilin type IV
group5473, membrane protein
group5470, hypothetical protein
group5471, hypothetical protein
group10699, hypothetical protein
group10698, hypothetical protein
group5478, sarcosine oxidase%2C delta subunit family
group5479, sarcosine oxidase%2C beta subunit family
group18192, hypothetical protein
group18193, hypothetical protein
group18190, Type I restriction enzyme EcoKI M protein
group18191, Insertion element IS6110 uncharacterized 12.0 kDa protein
group18196, hypothetical protein
group18197, hypothetical protein
group18194, hypothetical protein
group18195, hypothetical protein
group18198, hypothetical protein
group18199, hypothetical protein
group20719, hypothetical protein
group20718, hypothetical protein
group20713, hypothetical protein
group20712, hypothetical protein
group20711, Nucleoid occlusion factor SlmA
group20710, hypothetical protein
group20717, hypothetical protein
group20716, transposase IS630-like protein
group20715, LysR family transcriptional regulator
group20714, NmrA family transcriptional regulator
group17649, Xylose isomerase domain protein TIM barrel
group17648, Alkanesulfonate monooxygenase
group17643, Tyrosine recombinase XerC
group17642, hypothetical protein
group17641, hypothetical protein
group17640, hypothetical protein
group17647, glycoside hydrolase family 25
group17646, Xylose isomerase domain protein TIM barrel
group17645, hypothetical protein
group17644, hypothetical protein
group16598, NADPH-dependent FMN reductase
group16599, Methylthioribose kinase
group17000, hypothetical protein
group16590, hypothetical protein
group16591, 5-carboxymethyl-2-hydroxymuconate Delta-isomerase
group16592, hypothetical protein
group16593, transcriptional regulator%2C LacI family
group16594, inner-membrane translocator
group16595, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group16596, hypothetical protein
group16597, Phosphopyruvate hydratase
group10050, alpha/beta hydrolase fold protein
group10057, transposase IS66
group10056, DNA polymerase LigD%2C ligase domain protein
group9151, transcriptional regulator%2C GntR family
group9150, extracellular solute-binding protein family 1
group9153, acetolactate synthase%2C large subunit%2C biosynthetic type
group9152, aminotransferase class-III
group9155, hypothetical protein
group9154, acetoacetyl-CoA reductase
group9157, VirB2 type IV secretion protein
group9156, transport secretion system IV protein%2C VirB1
group9159, VirB5 type IV secretion protein
group9158, type IV secretion protein VirB3
group10054, restriction endonuclease
group10349, hypothetical protein
group10348, hypothetical protein
group10347, hypothetical protein
group10346, extracellular solute-binding protein family 1
group10345, Glyoxalase/bleomycin resistance protein/dioxygenase
group10344, transcriptional regulator%2C TetR family
group10343, acetyltransferase
group10342, hypothetical protein
group10341, hypothetical protein
group10340, hypothetical protein
group10513-2, hypothetical protein
group6121, alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen
group6120, hypothetical protein
group6123, D-tagatose-bisphosphate aldolase%2C class II%2C non-catalytic subunit
group6122, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6125, binding-protein-dependent transport systems inner membrane component
group6124, ACS59129.1 glucosamine/fructose-6-phosphate aminotransferase%2C isomerizing (plasmid)
group6127, ABC transporter substrate-binding protein
group6126, binding-protein-dependent transport systems inner membrane component
group6129, transcriptional regulator%2C DeoR family
group6128, ATPase BadF/BadG/BcrA/BcrD type
group7290, putative transmembrane protein
group7291, Integrase catalytic region
group7292, WGR domain protein
group7293, Integrase catalytic region
group7294, transposase
group7295, tyrosine recombinase XerC
group7296, TRAG family protein
group7297, WGR domain protein
group7298, S-(hydroxymethyl)glutathione synthase
group7299, transposase
group6989-3, Integrase catalytic region
group11906, hypothetical protein
group11907, hypothetical protein
group11904, HipA domain protein
group11905, hypothetical protein
group11902, hypothetical protein
group11903, hypothetical protein
group11900, glycoside hydrolase family 4
group11901, hypothetical protein
group11908, hypothetical protein
group11909, hypothetical protein
group357, flagellin domain protein
group356, hypothetical protein
group355, flagellar biosynthetic protein FliP
group354, flagellar basal body-associated protein FliL
group353, flagellar L-ring protein
group352, putative exported flagella related protein
group351, flagellar P-ring protein
group350, flagella basal body P-ring formation protein FlgA
group359, flagellin domain protein
group358, flagellin domain protein
group7746, hypothetical protein
group7747, GCN5-related N-acetyltransferase
group7744, hypothetical protein
group7745, hypothetical protein
group7742, TonB-dependent siderophore receptor
group7743, hypothetical protein
group7740, acetyltransferase
group7741, hypothetical protein
group7748, XRE family transcriptional regulator
group7749, hypothetical protein
group12459, hypothetical protein
group12458, hypothetical protein
group12455, hypothetical protein
group12454, hypothetical protein
group12457, ATP-dependent DNA ligase
group12456, hypothetical protein
group12451, NAD-dependent epimerase/dehydratase
group12450, LPS:glycosyltransferase
group12453, hypothetical protein
group12452, LPS:glycosyltransferase
group14857, hypothetical protein
group14856, hypothetical protein
group14855, Integrase catalytic region
group14854, transposase IS110 family protein
group14853, transposase IS204/IS1001/IS1096/IS1165 family protein
group14852, transposase IS110 family protein
group14851, FAD-dependent pyridine nucleotide-disulphide oxidoreductase
group14850, replication initiation protein
group14859, Antitoxin DinJ
group14858, aminotransferase class V
group8473, 4-hydroxythreonine-4-phosphate dehydrogenase
group15102, Amidase
group15103, hypothetical protein
group15100, hypothetical protein
group8472, 4-hydroxythreonine-4-phosphate dehydrogenase
group15106, hypothetical protein
group15107, hypothetical protein
group15104, hypothetical protein
group15105, ferredoxin
group6506-4, transposase IS66
group15108, hypothetical protein
group15109, hypothetical protein
group7907-3, major facilitator superfamily MFS_1
group13193, aldo/keto reductase
group13192, transcriptional regulator%2C LysR family
group13191, 4-oxalocrotonate tautomerase
group13190, glutathione S-transferase
group13197, hypothetical protein
group13196, hypothetical protein
group13195, hypothetical protein
group13194, oxidoreductase
group13199, 4-oxalocrotonate tautomerase
group13198, hypothetical protein
group11246-2, tyrosine recombinase XerD
group13445, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group13444, binding-protein-dependent transport systems inner membrane component
group13447, oxidoreductase domain protein
group13446, Xylose isomerase domain protein TIM barrel
group13441, Xylose isomerase domain protein TIM barrel
group13440, oxidoreductase domain protein
group13443, sugar ABC transporter permease
group13442, extracellular solute-binding protein family 1
group13449, Alpha/beta hydrolase fold-3 domain protein
group13448, transcriptional regulator%2C LysR family
group2025-2, transposase IS4 family protein
group2025-3, transposase IS4 family protein
group2025-4, transposase IS4 family protein
group2025-5, transposase IS4 family protein
group6752-2, beta-lactamase domain protein
group12718, transposase IS5 family protein
group12719, Protein TolB
group12712, transposase IS66
group12713, Type-2 restriction enzyme EcoRII
group12710, transposase IS66
group12711, monooxygenase FAD-binding protein
group12716, transposase IS21
group12717, transposase IS4 family protein
group12714, hypothetical protein
group12715, hypothetical protein
group18350, transcriptional regulator%2C GntR family
group18351, extracellular solute-binding protein family 5
group18352, BtpA protein
group18353, PfkB domain protein
group18354, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group18355, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group18356, binding-protein-dependent transport systems inner membrane component
group18357, binding-protein-dependent transport systems inner membrane component
group18358, hypothetical protein
group18359, hypothetical protein
group5678, hypothetical protein
group5679, short-chain dehydrogenase/reductase SDR
group5670, binding-protein-dependent transport systems inner membrane component
group5671, binding-protein-dependent transport systems inner membrane component
group5672, extracellular solute-binding protein family 1
group5673, Cystathionine beta-lyase
group5674, GntR domain protein
group5675, hypothetical protein
